model_id,provider_tag,organization,endpoint_id,from_at,to_at,direction,before,after
mistralai/voxtral-small-24b-2507,mistral,Mistral,814f9be0-e226-4b8c-bb5d-bf684359da13,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,1E-8
mistralai/ministral-14b-2512,mistral,Mistral,0b53717b-9af5-4de3-80af-ebedd2adf981,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,2E-8
mistralai/pixtral-large-2411,mistral,Mistral,1a41639e-c1cf-422e-a871-27bc67f03928,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,2E-7
minimax/minimax-m2.5,ionstream/fp8,Ionstream,dfc92206-6f8c-4248-b078-ecc1d73cca05,2026-03-23T00:00:00.000Z,2026-03-24T00:00:00.000Z,metered,,3E-8
qwen/qwen3-coder-next,ionstream/fp8,Ionstream,bfd413b7-acc4-433c-969d-6b737ed84290,2026-03-25T00:00:00.000Z,2026-03-26T00:00:00.000Z,metered,,1.2E-7
deepseek/deepseek-v3.2,ionstream/fp8,Ionstream,058458f3-18ed-432f-aa68-5c45fa4f4e52,2026-03-25T00:00:00.000Z,2026-03-26T00:00:00.000Z,metered,,1.3E-7
deepseek/deepseek-chat-v3.1,wandb-legacy/fp8,WandB,a50fbc5c-1405-4940-92ad-c455b0396643,2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z,metered,,5.5E-7
meta-llama/llama-3.3-70b-instruct,wandb-legacy/fp16,WandB,4420efea-38fe-4ec1-a7c6-c6dbcdeea8aa,2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z,metered,,7.1E-7
qwen/qwen3-235b-a22b-2507,wandb/bf16,WandB,c9f927db-d559-49eb-9846-80862c5e3b4e,2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z,metered,,1E-7
qwen/qwen3-30b-a3b-instruct-2507,wandb-legacy/bf16,WandB,4e6b8654-bc72-4796-bd29-63e32388313d,2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z,metered,,1E-7
qwen/qwen3-coder,wandb-legacy/bf16,WandB,78c02619-0533-4ed0-9c98-2acbed354856,2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z,metered,,0.000001
openai/gpt-oss-120b,wandb-legacy/fp4,WandB,3ca6292f-cef7-48a2-bf52-988e934cab57,2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z,metered,,1.5E-7
openai/gpt-oss-20b,wandb-legacy/fp4,WandB,d15a4ea2-a51e-4d29-8c85-785c3beb2a37,2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z,metered,,5E-8
z-ai/glm-5.1,parasail/fp8,Parasail,9b3b28f6-5691-483e-946a-c99728f61737,2026-04-08T00:00:00.000Z,2026-04-09T00:00:00.000Z,metered,,2.6E-7
z-ai/glm-5.1,gmicloud/fp8,GMICloud,64689e77-b452-4c30-b23e-4b36d364cac6,2026-04-11T00:00:00.000Z,2026-04-12T00:00:00.000Z,metered,,2.6E-7
thedrummer/cydonia-24b-v4.1,parasail/bf16,Parasail,4d46db86-63fe-47eb-85f1-6a7567af190c,2026-04-11T00:00:00.000Z,2026-04-12T00:00:00.000Z,metered,,1.5E-7
